id,time,distance,velocity,acceleration,Frictional Force,airResistance
carAR120g,0.0,0.0,0.0,4.904999999999999,0.0,0.0
carAR120g,0.001,2.4524999999999994E-6,0.004905,4.904999999999999,0.0,0.0011719244053602113
carAR120g,0.002,9.809414037797319E-6,0.009808828075594639,4.903828075594639,0.0,0.0023435688093316597
carAR120g,0.003,2.2069570328987293E-5,0.014711484506785305,4.9026564311906675,0.0,0.003514933278813523
carAR120g,0.004,3.9231797369133195E-5,0.019612969573506493,4.901485066721186,0.0,0.004686017880688994
carAR120g,0.005,6.129492393369934E-5,0.024513283555625803,4.90031398211931,0.0,0.005856822681825284
carAR120g,0.006,8.825777907798423E-5,0.029412426732943975,4.899143177318174,0.0,0.007027347749073628
carAR120g,0.007,1.2011919213705367E-4,0.0343103993851949,4.8979726522509255,0.0,0.008197593149269296
carAR120g,0.008,1.5687799272567395E-4,0.039207201792045634,4.89680240685073,0.0,0.009367558949231579
carAR120g,0.009000000000000001,1.9853301073824496E-4,0.044102834233096404,4.8956324410507674,0.0,0.010537245215763807
carAR120g,0.010000000000000002,2.450830763487335E-4,0.04899729698788064,4.894462754784236,0.0,0.011706652015653352
carAR120g,0.011000000000000003,2.965270200106063E-4,0.05389059033586499,4.893293347984346,0.0,0.012875779415671626
carAR120g,0.012000000000000004,3.528636724567634E-4,0.05878271455644932,4.892124220584328,0.0,0.014044627482574089
carAR120g,0.013000000000000005,4.140918646994714E-4,0.06367366992896674,4.890955372517425,0.0,0.015213196283100248
carAR120g,0.014000000000000005,4.802104280302966E-4,0.06856345673268364,4.889786803716899,0.0,0.01638148588397367
carAR120g,0.015000000000000006,5.512181940200382E-4,0.07345207524679967,4.888618514116025,0.0,0.017549496351901978
carAR120g,0.016000000000000007,6.27113994518662E-4,0.07833952575044777,4.887450503648098,0.0,0.018717227753576853
carAR120g,0.017000000000000008,7.07896661655233E-4,0.08322580852269419,4.886282772246423,0.0,0.019884680155674045
carAR120g,0.01800000000000001,7.935650278378493E-4,0.08811092384253852,4.885115319844325,0.0,0.02105185362485338
carAR120g,0.01900000000000001,8.841179257535754E-4,0.09299487198891367,4.883948146375146,0.0,0.02221874822775874
carAR120g,0.02000000000000001,9.795541883683753E-4,0.09787765324068591,4.882781251772241,0.0,0.023385364031018104
carAR120g,0.02100000000000001,0.0010798726489270457,0.10275926787665489,4.881614635968981,0.0,0.024551701101243516
carAR120g,0.022000000000000013,0.00118507214095315,0.10763971617555365,4.880448298898756,0.0,0.025717759505031117
carAR120g,0.023000000000000013,0.0012951514982489512,0.11251899841604862,4.879282240494968,0.0,0.02688353930896113
carAR120g,0.024000000000000014,0.0014101095548953455,0.11739711487673966,4.8781164606910385,0.0,0.02804904057959787
carAR120g,0.025000000000000015,0.0015299451452517954,0.12227406583616007,4.876950959420402,0.0,0.029214263383489748
carAR120g,0.026000000000000016,0.0016546571039562637,0.12714985157277658,4.87578573661651,0.0,0.030379207787169283
carAR120g,0.027000000000000017,0.0017842442659251466,0.1320244723649894,4.87462079221283,0.0,0.03154387385715308
carAR120g,0.028000000000000018,0.0019187054663532075,0.13689792849113225,4.873456126142846,0.0,0.032708261659941874
carAR120g,0.02900000000000002,0.0020580395407135098,0.1417702202294723,4.872291738340057,0.0,0.033872371262020494
carAR120g,0.03000000000000002,0.002202245324757351,0.14664134785821029,4.8711276287379786,0.0,0.03503620272985789
carAR120g,0.03100000000000002,0.0023513216545141963,0.15151131165548043,4.869963797270142,0.0,0.03619975612990715
carAR120g,0.03200000000000002,0.002505267366291612,0.15638011189935053,4.868800243870092,0.0,0.037363031528605435
carAR120g,0.03300000000000002,0.0026640812966751983,0.16124774886782192,4.867636968471394,0.0,0.03852602899237408
carAR120g,0.03400000000000002,0.002827762282528524,0.16611422283882954,4.8664739710076255,0.0,0.03968874858761854
carAR120g,0.035000000000000024,0.00299630916099306,0.1709795340902419,4.865311251412381,0.0,0.04085119038072838
carAR120g,0.036000000000000025,0.0031697207694881117,0.1758436828998612,4.864148809619271,0.0,0.04201335443807734
carAR120g,0.037000000000000026,0.003347995945710754,0.1807066695454231,4.862986645561922,0.0,0.04317524082602328
carAR120g,0.03800000000000003,0.003531133527635764,0.1855684943045971,4.8618247591739765,0.0,0.0443368496109082
carAR120g,0.03900000000000003,0.003719132353515556,0.19042915745498618,4.860663150389091,0.0,0.045498180859058254
carAR120g,0.04000000000000003,0.003911991261880112,0.1952886592741271,4.859501819140941,0.0,0.04665923463678376
carAR120g,0.04100000000000003,0.004109709091536921,0.20014700003949032,4.858340765363216,0.0,0.04782001101037918
carAR120g,0.04200000000000003,0.004312284681570906,0.20500418002847995,4.85717998898962,0.0,0.04898051004612316
carAR120g,0.04300000000000003,0.004519716871344363,0.20986019951843382,4.8560194899538764,0.0,0.050140731810278456
carAR120g,0.04400000000000003,0.004732004500496892,0.21471505878662353,4.8548592681897205,0.0,0.05130067636909207
carAR120g,0.04500000000000003,0.0049491464089453305,0.21956875811025445,4.853699323630908,0.0,0.052460343788795105
carAR120g,0.046000000000000034,0.0051711414368836904,0.22442129776646566,4.852539656211205,0.0,0.053619734135602885
carAR120g,0.047000000000000035,0.005397988424783088,0.22927267803233006,4.851380265864396,0.0,0.0547788474757149
carAR120g,0.048000000000000036,0.00562968621339168,0.23412289918485435,4.850221152524284,0.0,0.05593768387531481
carAR120g,0.04900000000000004,0.005866233643734597,0.23897196150097905,4.849062316124685,0.0,0.05709624340057047
carAR120g,0.05000000000000004,0.006107629557113876,0.24381986525757848,4.847903756599429,0.0,0.058254526117633945
